#name      threshold
SRR567004  1
SRR567005  1
SRR567006  1
SRR567007  1
SRR567008  1
SRR567009  1
SRR567010  1
SRR567011  1
SRR567012  1
SRR567013  1
SRR567014  1
SRR567015  1
SRR567016  1
SRR567017  1
SRR567018  1
SRR567019  1
SRR567020  1
SRR567021  1
SRR567022  1
SRR567023  1
SRR567024  1
SRR567025  1
SRR567026  1
SRR567027  1
SRR567028  1
SRR567029  1
SRR567030  1
SRR567031  1
SRR567032  1
SRR567033  1
SRR567034  1
SRR567035  1
SRR567036  1
SRR567037  1
SRR567038  1
SRR567039  1
SRR567040  1
SRR567041  1
SRR567042  1
SRR567043  1
SRR567044  1
SRR567045  1
SRR567046  1
SRR567047  1
SRR567048  1
SRR567049  1
SRR567050  1
SRR567051  1
SRR567052  1
SRR567053  1
SRR567054  1
SRR567055  1
SRR567056  1
SRR567057  1
SRR567058  1
SRR567059  1
SRR567060  1
SRR567061  1
SRR567062  1
SRR567063  1
SRR567064  1
SRR567065  1
SRR567066  1
SRR567067  1
SRR567068  1
SRR567069  1
SRR567070  1
SRR567071  1
SRR567072  1
SRR567073  1
SRR567074  1
SRR567075  1
SRR567076  1
SRR567077  1
SRR567078  1
SRR567079  1
SRR567080  1
SRR567081  1
SRR567082  1
SRR567083  1
SRR567084  1
SRR567085  1
SRR567086  1
SRR567087  1
SRR567088  1
SRR567089  1
SRR567090  1
SRR567091  1
SRR567092  1
SRR567093  1
SRR567094  1
SRR567095  1
SRR567096  1
SRR567097  1
SRR567098  1
SRR567099  1
SRR567100  1
SRR567101  1
SRR567102  1
SRR567103  1
SRR567104  1
SRR567105  1
SRR567106  1
SRR567107  1
SRR567108  1
SRR567109  1
SRR567110  1
SRR567111  1
SRR567112  1
SRR567113  1
SRR567114  1
SRR567115  1
SRR567116  1
SRR567117  1
SRR567118  1
SRR567119  1
SRR567120  1
SRR567121  1
SRR567122  1
SRR567123  1
SRR567124  1
SRR567125  1
SRR567126  1
SRR567127  1
SRR567128  1
SRR567129  1
SRR567130  1
SRR567131  1
SRR567132  1
SRR567133  1
SRR567134  1
SRR567135  1
SRR567136  1
SRR567137  1
SRR567138  1
SRR567139  1
SRR567140  1
SRR567141  1
SRR567142  1
SRR567143  1
SRR567144  1
SRR567145  1
SRR567146  1
SRR567147  1
SRR567148  1
SRR567149  1
SRR567150  1
SRR567151  1
SRR567152  1
SRR567153  1
SRR567154  1
SRR567155  1
SRR567156  1
SRR567157  1
SRR567158  1
SRR567159  1
SRR567160  1
SRR567161  1
SRR570429  1
SRR570430  1
SRR570431  1
SRR570432  1
SRR570433  1
SRR570434  1
SRR570435  1
SRR570436  1
SRR570437  1
SRR570438  1
SRR570439  1
SRR570440  1
SRR570441  1
SRR570442  1
SRR570443  1
SRR570444  1
SRR578243  20
SRR578244  3
SRR578245  20
SRR578246  20
SRR578247  10
SRR578248  3
SRR578249  10
SRR578250  20
SRR578251  10
SRR578252  20
SRR578253  20
SRR578254  20
SRR578255  10
SRR578256  10
SRR578257  10
SRR578258  10
SRR578259  20
SRR578260  20
SRR578261  3
SRR578262  10
SRR597814  10
SRR617229  1
SRR617230  1
SRR617231  1
SRR617232  1
SRR643766  50
SRR644513  50
SRR645769  20
SRR645770  20
SRR645771  20
SRR645772  20
SRR645773  20
SRR645774  20
SRR645775  20
SRR645776  20
SRR645777  20
SRR645778  50
SRR645779  20
SRR645780  50
SRR645781  20
SRR645782  20
SRR645783  20
SRR646457  3
SRR646458  3
SRR646459  3
SRR646460  1
SRR648404  1
SRR648405  1
SRR648406  1
SRR648407  1
SRR648408  1
SRR648409  1
SRR648410  1
SRR648411  1
SRR648412  1
SRR648413  1
SRR648414  1
SRR648415  1
SRR648416  1
SRR648417  1
SRR648418  1
SRR648419  1
SRR648420  1
SRR648421  1
SRR648422  1
SRR648423  1
SRR648424  1
SRR648425  1
SRR648426  1
SRR648427  1
SRR648428  1
SRR649360  10
SRR649361  20
SRR649362  20
SRR649363  20
SRR649364  20
SRR650317  10
SRR653421  10
SRR653422  10
SRR653423  10
SRR653424  10
SRR653425  10
SRR653426  10
SRR654040  3
SRR654041  3
SRR654042  3
SRR654043  10
SRR764776  20
SRR764777  20
SRR764778  20
SRR764779  20
SRR764780  50
SRR764781  20
SRR764782  20
SRR764783  20
SRR764784  20
SRR764785  10
SRR764786  10
SRR764787  3
SRR764788  10
SRR764789  20
SRR764790  10
SRR764791  10
SRR764792  20
SRR764793  10
SRR764794  10
SRR764795  10
SRR764796  10
SRR764797  10
SRR764798  20
SRR764799  20
SRR764800  10
SRR764801  20
SRR764802  20
SRR764803  20
SRR764804  10
SRR764805  20
SRR764806  20
SRR764807  20
SRR764808  20
SRR764809  20
SRR764810  20
SRR764811  20
SRR764812  10
SRR764813  20
SRR764814  20
SRR764815  50
SRR764816  20
SRR764817  20
SRR770714  50
SRR770715  50
SRR770716  50
SRR770717  10
SRR770718  10
SRR770719  1
SRR770720  1
SRR772114  20
SRR772115  10
SRR776494  10
SRR776495  10
SRR776496  10
SRR786614  10
SRR786615  10
SRR786616  10
SRR786617  10
SRR786618  10
SRR786619  10
SRR786620  10
SRR786621  10
SRR786622  10
SRR786623  10
SRR786624  10
SRR786625  10
SRR786626  10
SRR786627  10
SRR787327  1
SRR787328  10
SRR787329  1
SRR787330  3
SRR791043  20
SRR791044  20
SRR791045  20
SRR791046  20
SRR791047  20
SRR791048  20
SRR791049  20
SRR791050  20
SRR791051  20
SRR791052  10
SRR791053  20
SRR791054  10
SRR791055  10
SRR791056  10
SRR791057  10
SRR791058  10
SRR791059  10
SRR791060  10
SRR791061  10
